#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_93163_length_1838_cov_17.804262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1382.18510276	14408.4854512	2153.29251662	0.0	39271.458079	19702.5397075	3422.6133258	10724.9393986	12399.9518639	1426.58974117
NODE_93252_length_1837_cov_5.018519	45512.6273108	72410.3240746	87914.6459305	82428.2810597	68001.7483795	33701.0773654	70648.5034118	91004.3836003	62951.7869683	67677.0726369	209861.740992	142684.581615	170130.381667	115039.778581	177335.12148	66131.0799988	60472.902942	97875.7027533	92445.2096739	97018.9079235
NODE_93263_length_1837_cov_3.878788	0.0	0.0	1395.47119245	1131.368014	0.0	0.0	1642.98902406	0.0	0.0	0.0	0.0	3856.33912509	4307.09765066	1307.27112367	13091.8555061	10370.7794142	1140.99884386	5363.05249603	10146.4262737	1426.74858888
NODE_93293_length_1836_cov_101.817518	48179.3526833	51502.1749705	40213.1611512	52050.0487829	69398.316613	27284.5611746	94577.7062858	77901.3929094	63784.7941379	71272.5656089	36688.46129	44681.6653155	84847.5250219	14027.2547715	28618.0375115	13395.8458807	17273.343892	12855.9237753	26748.1084947	17107.2347634
NODE_93291_length_1836_cov_161.572712	111116.339319	114090.037506	121420.548791	110889.235372	117977.139504	72223.8379145	124678.461403	156025.293012	122959.950394	142620.971679	158985.528073	200156.526132	242363.110677	152970.126626	222584.823689	90207.5220859	86428.3157322	110939.438623	105699.158104	148398.354782
NODE_93301_length_1836_cov_29.905109	8032.50649904	1737.99163235	9769.46973565	6789.13780572	1387.965647	0.0	1643.14464307	3250.52660919	12591.7609438	8460.56660033	2764.96636711	11570.337769	2153.80553572	0.0	1190.29325559	5185.90051639	5705.62762917	5363.6343707	0.0	1426.90641861
NODE_93379_length_1835_cov_18.779775	0.0	0.0	2791.61336564	4526.71025709	0.0	1605.13459691	0.0	0.0	0.0	2417.57093596	2765.26458564	64286.9791053	8616.24666812	31382.495251	27379.6112964	24894.778161	21683.8147165	26821.0929544	3382.81585399	7135.32971605
NODE_93397_length_1835_cov_5.628090	40166.8688814	47509.0792528	40478.392823	52022.967656	48584.975355	33707.8431446	37795.9584279	51944.6686954	40577.9758587	47567.3101157	88488.4523564	75858.6365136	53324.0568295	74533.4274745	101185.523701	36304.8844433	37661.3617439	52169.3146796	48487.0334723	38530.7847297
NODE_93485_length_1834_cov_3.227656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4148.34433729	2571.7731352	0.0	0.0	3571.62803494	7261.69479632	1141.38073286	5364.80399223	5638.59130023	0.0
NODE_93464_length_1834_cov_8.605396	4017.12117339	10429.6915203	21736.02992	17283.0283053	15271.5009661	4815.89052455	16434.598245	13005.077647	18192.1587343	12089.190597	82140.362197	48863.6801436	47395.0100538	62773.0181108	48945.6982691	15560.7732793	28534.530825	41577.2242064	24809.797984	45671.2024416
