	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_31541_length_4006_cov_5.284232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1089.23665253	56184.5677961	0.0	1925.86651296	3480.47637276	26373.3230216	3778.23112005	0.0	3630.14264962	13334.9962469	0.0
NODE_31571_length_4002_cov_237.941475	157180.670954	31034.7348629	113431.373108	172330.377041	57945.4591415	56916.9522946	516217.826707	308028.48347	225460.392878	279956.757532	126113.47644	106247.362383	173343.402829	77738.0625794	192978.635227	68013.2815966	98592.4114892	38724.702529	34878.8113024	70669.0999872
NODE_32432_length_3932_cov_5.507609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61273.2778791	5783.18772861	0.0	2324.48863211	28070.3467181	9459.02815485	0.0	2423.86121489	6163.4683888	0.0
NODE_32742_length_3908_cov_9.567091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14092.4288922	0.0	0.0	56510.9516011	0.0	3637.67362393	87694.1064478	2575.01164448
NODE_32770_length_3906_cov_7.588938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1157.31343213	13512.0340773	0.0	1534.04569585	54978.4695849	0.0	2425.22266347	84277.7678526	0.0
NODE_32805_length_3903_cov_5.207900	14768.8702752	7616.90625592	0.0	0.0	3707.55285954	4386.78083551	13530.9310205	12372.0431307	25245.2362727	9980.63008185	5107.65652036	0.0	2577.56368916	0.0	1252.87177386	0.0	0.0	0.0	0.0	0.0
NODE_32861_length_3898_cov_8.371324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17375.8965665	0.0	0.0	60578.5010353	0.0	7276.92999143	81207.5098151	0.0
NODE_33077_length_3881_cov_6.824882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7725.74175377	0.0	1080.78450012	56811.7088266	0.0	4853.09285484	78150.5911133	3864.84362231
NODE_33523_length_3847_cov_6.519778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22067.7126341	0.0	2163.15045583	58577.3980709	0.0	6070.95373237	103459.382822	4154.63689481
NODE_33657_length_3837_cov_9.535431	2426.73236508	2682.87727264	12513.7288782	25012.3277045	0.0	0.0	7526.96139635	42493.3119157	12641.5062942	15305.6409777	1253.07205571	4636.638012	1933.49139643	1165.05096768	45436.0201713	14215.6733624	0.0	0.0	1029.23116599	1289.57233245
